size,sortTime1,sortTime2
0,0.000000,0.000000
1000,0.000997,0.007978
2000,0.000999,0.033940
3000,0.000968,0.075304
4000,0.001994,0.131647
5000,0.000998,0.201462
6000,0.001029,0.279221
7000,0.001995,0.382770
8000,0.002027,0.496115
9000,0.001996,0.644969
10000,0.002992,0.764954
11000,0.002952,0.892439
12000,0.003994,1.093863
13000,0.002992,1.238852
14000,0.003990,1.392470
15000,0.004024,1.767549
16000,0.005984,1.888207
17000,0.004986,1.977492
18000,0.004986,2.153219
19000,0.004987,2.379519
20000,0.005982,2.605425
21000,0.005943,2.834384
22000,0.006982,3.211256
23000,0.006980,3.295023
24000,0.007000,3.535831
25000,0.008030,3.823383
26000,0.007977,4.058849
27000,0.007350,4.312930
28000,0.008023,4.637134
29000,0.008975,4.879988
30000,0.010016,5.265076
31000,0.008952,5.571896
32000,0.008976,5.696818
33000,0.009973,5.931256
34000,0.011003,6.280645
35000,0.014931,6.578033
36000,0.011969,6.797291
37000,0.010975,7.167919
38000,0.011982,7.410284
39000,0.013927,7.708482
40000,0.013962,7.991087
41000,0.012934,8.224040
42000,0.012965,8.516366
43000,0.013971,8.786253
44000,0.012997,9.051668
45000,0.013963,9.403345
46000,0.014998,9.655180
47000,0.015005,10.180151
48000,0.015468,10.491855
49000,0.015956,10.629644
50000,0.014959,11.034935
51000,0.015957,11.378728
52000,0.018980,12.440610
53000,0.016929,11.899890
54000,0.022939,12.147238
55000,0.017007,12.435602
56000,0.016910,12.883951
57000,0.019946,13.334979
58000,0.018932,13.667348
59000,0.019950,14.226275
60000,0.019947,15.015812
61000,0.020944,15.039818
62000,0.019076,15.211706
63000,0.019946,15.633441
64000,0.020945,15.887275
65000,0.019946,16.114544
66000,0.022905,16.428391
67000,0.021911,16.607802
68000,0.020944,16.820061
69000,0.021934,17.061366
70000,0.023925,17.429844
71000,0.023945,17.726342
72000,0.023980,18.027898
73000,0.024923,18.138484
74000,0.024933,18.704046
75000,0.026895,19.139758
76000,0.023984,19.363469
77000,0.024899,19.698047
78000,0.023935,20.155237
79000,0.024933,20.301944
80000,0.025932,20.464826
81000,0.026929,20.712358
82000,0.025933,20.891803
83000,0.027948,21.231819
84000,0.025939,21.542708
85000,0.029951,21.694383
86000,0.028931,21.922220
87000,0.029918,22.159430
88000,0.030949,22.462030
89000,0.028547,22.862728
90000,0.027918,22.898743
91000,0.029910,23.279613
92000,0.034016,23.545396
93000,0.030938,23.974042
94000,0.030933,24.185828
95000,0.031916,24.598660
96000,0.032913,24.817090
97000,0.031958,25.269789
98000,0.029911,25.444972
99000,0.033909,25.765840
100000,0.031192,26.138276
